productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice
3078,Godrej-Protekt-Master-Blaster-Handwash,ProductLine2,01:18,Lang-Morris,Description for Product 3,540,687.32
8230,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,ProductLine4,01:18,Lang-Morris,Description for Product 3,971,971.94
9691,Godrej-Protekt-Master-Blaster-Handwash,ProductLine1,01:10,"Whitehead, Horton and Johnson",Description for Product 10,971,918.57
1080,Mamaearth-Face-Wash-100-ml,ProductLine1,01:10,Chavez-Robinson,Description for Product 4,644,899.95
1087,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine3,01:12,"Whitehead, Horton and Johnson",Description for Product 6,971,539.15
9691,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine2,01:10,George PLC,Description for Product 8,383,705.53
1093,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine1,01:10,Marshall-Ross,Description for Product 2,836,972.74
2588,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine1,01:10,Lang-Morris,Description for Product 3,820,935.63
1080,Godrej-Protekt-Master-Blaster-Handwash,ProductLine2,01:10,"Whitehead, Horton and Johnson",Description for Product 9,384,962.18
9628,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine3,01:12,Chavez-Robinson,Description for Product 8,474,931.99
1101,Mamaearth-Natural-Turmeric-Saffron-brightning,ProductLine2,01:18,George PLC,Description for Product 1,686,483.19
1492,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Chavez-Robinson,Description for Product 4,440,416.24
1080,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Anderson-Dunn,Description for Product 4,377,961.17
5153,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine2,01:10,George PLC,Description for Product 6,971,861.55
9485,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Pennington and Sons,Description for Product 5,971,424.28
8101,Godrej-Protekt-Master-Blaster-Handwash,ProductLine4,01:10,Anderson-Dunn,Description for Product 5,403,958.02
2891,Godrej-No-1-Bathing-Soap-Lime,ProductLine4,01:18,"Johnson, Garcia and Ferguson",Description for Product 4,385,561.26
1188,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine3,01:10,Pennington and Sons,Description for Product 9,358,859.51
1080,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine1,01:10,Pennington and Sons,Description for Product 6,586,972.95
2085,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,ProductLine2,01:10,Anderson-Dunn,Description for Product 5,722,689.66
2004,Mamaearth-Onion-Growth-Control-Redensyl,ProductLine4,01:18,Chavez-Robinson,Description for Product 5,971,919.9
1080,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Anderson-Dunn,Description for Product 4,779,973.06
3750,Godrej-Protekt-Master-Blaster-Handwash,ProductLine4,01:10,Smith Group,Description for Product 5,971,478.27
1664,Mamaearth-Face-Wash-100-ml,ProductLine2,01:10,Smith Group,Description for Product 9,971,434.95
7888,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Marshall-Ross,Description for Product 7,971,758.08
1746,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,ProductLine2,01:18,Marshall-Ross,Description for Product 7,358,681.13
7649,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine1,01:12,"Whitehead, Horton and Johnson",Description for Product 7,360,973.08
3159,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,ProductLine4,01:10,Chavez-Robinson,Description for Product 4,479,383.98
1667,Godrej-Protekt-Master-Blaster-Handwash,ProductLine2,01:10,Smith Group,Description for Product 10,359,540.79
1081,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine4,01:10,George PLC,Description for Product 5,771,536.9
1963,Mamaearth-Natural-Turmeric-Saffron-brightning,ProductLine3,01:10,Marshall-Ross,Description for Product 9,359,973.07
1080,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,ProductLine1,01:18,Sanchez PLC,Description for Product 3,427,972.33
1246,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine2,01:10,Marshall-Ross,Description for Product 1,971,973.03
1080,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:18,Pennington and Sons,Description for Product 9,971,886.27
1108,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine4,01:10,Chavez-Robinson,Description for Product 1,377,868.99
1080,Godrej-Protekt-Master-Blaster-Handwash,ProductLine2,01:10,Marshall-Ross,Description for Product 5,504,973.08
1080,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine1,01:18,Lang-Morris,Description for Product 7,971,973.06
1081,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine1,01:10,Marshall-Ross,Description for Product 2,971,969.54
9691,Godrej-Protekt-Master-Blaster-Handwash,ProductLine4,01:18,Marshall-Ross,Description for Product 10,358,385.22
1363,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine3,01:18,Pennington and Sons,Description for Product 6,971,724.65
4271,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine1,01:10,Pennington and Sons,Description for Product 6,782,972.16
9449,Mamaearth-Natural-Turmeric-Saffron-brightning,ProductLine1,01:10,Smith Group,Description for Product 6,935,971.54
1807,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine3,01:10,Marshall-Ross,Description for Product 6,971,595.73
1081,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine3,01:18,Lang-Morris,Description for Product 1,971,406.44
1370,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine4,01:12,Pennington and Sons,Description for Product 2,971,972.85
1080,Mamaearth-Face-Wash-100-ml,ProductLine2,01:18,George PLC,Description for Product 8,358,582.02
1080,Mamaearth-Onion-Growth-Control-Redensyl,ProductLine1,01:10,Anderson-Dunn,Description for Product 9,971,972.3
1127,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine2,01:18,"Johnson, Garcia and Ferguson",Description for Product 6,443,971.39
9386,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine4,01:10,Marshall-Ross,Description for Product 2,358,386.1
1235,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine3,01:10,Sanchez PLC,Description for Product 8,971,500.09
