productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice
9482,Mamaearth-Natural-Turmeric-Saffron-brightning,ProductLine2,01:18,Pennington and Sons,Description for Product 3,616,458.72
5292,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:18,Lang-Morris,Description for Product 8,473,917.26
9343,Mamaearth-Natural-Turmeric-Saffron-brightning,ProductLine2,01:10,Pennington and Sons,Description for Product 3,506,649.07
9691,Mamaearth-Onion-Growth-Control-Redensyl,ProductLine2,01:18,"Johnson, Garcia and Ferguson",Description for Product 1,421,666.06
9607,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine2,01:10,Smith Group,Description for Product 2,896,839.05
9148,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine1,01:10,Pennington and Sons,Description for Product 4,480,972.37
5869,Godrej-Protekt-Master-Blaster-Handwash,ProductLine1,01:10,Lang-Morris,Description for Product 8,433,726.15
3782,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 8,361,968.92
2463,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Sanchez PLC,Description for Product 9,366,913.22
3415,Godrej-No-1-Bathing-Soap-Lime,ProductLine2,01:10,Sanchez PLC,Description for Product 9,358,743.62
9637,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine2,01:10,Smith Group,Description for Product 1,767,387.61
9471,Mamaearth-Natural-Turmeric-Saffron-brightning,ProductLine2,01:10,Pennington and Sons,Description for Product 3,455,898.56
6789,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,ProductLine1,01:10,George PLC,Description for Product 5,364,864.55
5425,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine2,01:18,"Whitehead, Horton and Johnson",Description for Product 7,444,444.99
9602,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine2,01:18,Smith Group,Description for Product 1,600,535.67
8709,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine1,01:10,Smith Group,Description for Product 2,468,943.38
7902,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine2,01:18,Marshall-Ross,Description for Product 4,582,383.98
5230,Godrej-No-1-Bathing-Soap-Lime,ProductLine1,01:18,Sanchez PLC,Description for Product 9,527,528.76
8418,Mamaearth-Face-Wash-100-ml,ProductLine1,01:18,Chavez-Robinson,Description for Product 5,971,569.38
9640,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine2,01:18,Smith Group,Description for Product 2,369,455.2
9684,Mamaearth-Onion-Growth-Control-Redensyl,ProductLine2,01:10,"Johnson, Garcia and Ferguson",Description for Product 1,432,906.72
7766,Mamaearth-Face-Wash-100-ml,ProductLine2,01:10,Chavez-Robinson,Description for Product 5,398,403.97
7030,Godrej-Protekt-Master-Blaster-Handwash,ProductLine2,01:18,Lang-Morris,Description for Product 8,379,941.12
5062,Godrej-Protekt-Master-Blaster-Handwash,ProductLine1,01:10,Lang-Morris,Description for Product 8,463,884.21
2076,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Anderson-Dunn,Description for Product 10,365,924.65
9691,Mamaearth-Onion-Growth-Control-Redensyl,ProductLine2,01:18,"Johnson, Garcia and Ferguson",Description for Product 1,603,405.81
3869,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 8,358,952.51
9134,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine2,01:10,Marshall-Ross,Description for Product 3,367,554.98
8810,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine2,01:18,Marshall-Ross,Description for Product 4,358,685.39
9005,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine2,01:10,Marshall-Ross,Description for Product 3,359,397.27
6215,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine2,01:18,"Whitehead, Horton and Johnson",Description for Product 7,365,716.7
6334,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine2,01:18,"Whitehead, Horton and Johnson",Description for Product 7,414,396.34
6743,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine3,01:18,Lang-Morris,Description for Product 7,515,848.26
9676,Mamaearth-Natural-Turmeric-Saffron-brightning,ProductLine2,01:18,Pennington and Sons,Description for Product 2,769,704.18
9336,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine2,01:10,Marshall-Ross,Description for Product 3,934,776.56
5543,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 8,465,971.75
9563,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine2,01:18,Pennington and Sons,Description for Product 3,820,488.43
6615,Godrej-Protekt-Master-Blaster-Handwash,ProductLine2,01:10,"Whitehead, Horton and Johnson",Description for Product 7,365,869.78
8472,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,ProductLine2,01:18,George PLC,Description for Product 4,401,395.7
7781,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine1,01:10,Chavez-Robinson,Description for Product 6,445,709.45
