productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice
4613,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine3,01:18,Smith Group,Description for Product 6,402,813.07
7996,Mamaearth-Onion-Growth-Control-Redensyl,ProductLine2,01:10,"Johnson, Garcia and Ferguson",Description for Product 1,657,724.95
3302,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine4,01:10,Anderson-Dunn,Description for Product 10,416,973.08
2642,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine4,01:10,Anderson-Dunn,Description for Product 10,380,733.92
4930,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 9,602,834.34
8695,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:18,Lang-Morris,Description for Product 4,478,881.41
7384,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine3,01:10,"Johnson, Garcia and Ferguson",Description for Product 4,755,734.46
5746,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Anderson-Dunn,Description for Product 9,419,791.02
9198,Mamaearth-Onion-Growth-Control-Redensyl,ProductLine2,01:18,"Johnson, Garcia and Ferguson",Description for Product 1,862,525.29
6339,Godrej-Protekt-Master-Blaster-Handwash,ProductLine1,01:10,Lang-Morris,Description for Product 8,617,973.08
5435,Mamaearth-Face-Wash-100-ml,ProductLine2,01:10,Chavez-Robinson,Description for Product 6,574,955.83
7293,Mamaearth-Blemishes-Pigmentation-Blemish-Mulberry,ProductLine4,01:10,George PLC,Description for Product 5,612,962.29
4154,Mamaearth-Face-Wash-100-ml,ProductLine2,01:10,Smith Group,Description for Product 6,556,507.9
7126,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine2,01:10,Chavez-Robinson,Description for Product 2,299,615.23
6925,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine2,01:10,Smith Group,Description for Product 2,644,593.79
8080,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine3,01:10,Marshall-Ross,Description for Product 4,458,915.07
1027,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine3,01:18,"Whitehead, Horton and Johnson",Description for Product 7,378,747.52
1877,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine3,01:10,Anderson-Dunn,Description for Product 10,407,945.83
6922,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 8,437,973.08
5769,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 8,456,732.42
4293,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine3,01:18,"Whitehead, Horton and Johnson",Description for Product 7,437,406.06
4934,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Sanchez PLC,Description for Product 9,447,590.88
8271,Mamaearth-Percent-Natural-Berry-Toothpaste,ProductLine2,01:10,Smith Group,Description for Product 2,631,597.03
2708,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine4,01:10,Anderson-Dunn,Description for Product 10,424,908.69
1027,Mamaearth-Moisturizing-Baby-Bathing-Oatmeal,ProductLine3,01:10,"Whitehead, Horton and Johnson",Description for Product 7,565,927.48
7519,Mamaearth-Illuminate-Vitamin-Radiant-Turmeric,ProductLine1,01:10,Marshall-Ross,Description for Product 4,475,973.08
7222,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Sanchez PLC,Description for Product 9,232,674.6
8698,Mamaearth-Face-Wash-100-ml,ProductLine2,01:10,Chavez-Robinson,Description for Product 6,512,409.87
4704,Godrej-No-1-Bathing-Soap-Lime,ProductLine3,01:10,Sanchez PLC,Description for Product 9,365,766.31
1027,Godrej-No-1-Bathing-Soap-Turmeric,ProductLine4,01:10,Anderson-Dunn,Description for Product 7,400,973.08
7604,Godrej-Protekt-Master-Blaster-Handwash,ProductLine3,01:10,Lang-Morris,Description for Product 4,359,605.14
