orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber
8790,9113,89,806.73,20
6331,7489,67,372.46,55
9243,8268,3,913.23,43
4298,5971,34,232.59,43
9898,5360,10,948.56,80
8132,5718,19,134.54,79
9562,6085,61,350.22,49
9756,1241,40,852.77,97
4105,305,63,915.91,18
7016,1370,100,330.48,29
5688,9251,75,197.47,5
1118,4324,71,779.0,19
3450,5921,50,693.93,89
5952,5202,26,906.65,40
9638,1052,75,118.17,62
3062,5718,30,756.87,24
8287,5921,82,198.88,14
2228,5971,73,479.83,15
9844,1411,9,331.59,3
9296,2800,95,794.64,52
5688,9507,73,896.09,56
4532,7942,67,537.72,9
8287,7255,47,940.86,82
3450,7942,77,693.47,26
5628,7246,67,386.08,51
1118,4013,100,81.25,38
9651,5971,4,967.23,7
2398,5326,44,193.35,89
2287,4267,80,573.07,45
9651,3129,47,256.34,25
7260,9691,17,815.95,73
2228,3844,49,374.95,69
9984,9251,54,409.97,13
7142,5646,41,461.76,75
8923,2959,61,646.61,8
4299,305,73,309.65,20
7142,7489,51,733.44,6
4167,1241,31,938.47,29
4298,5646,4,329.37,37
8790,5160,3,749.69,25
9562,6346,68,602.37,21
9756,4267,55,648.47,69
3450,9084,40,134.19,68
9984,9084,21,205.81,81
3062,5989,19,717.32,8
2973,9507,33,642.95,31
5952,8901,58,139.22,32
6413,968,73,278.0,18
4532,7942,58,855.76,56
7142,6085,44,594.45,57
7370,7489,15,792.14,41
8942,2212,70,10.41,75
9666,1241,57,177.78,47
5628,9691,80,117.03,84
8602,9326,61,274.6,77
4167,5921,84,569.56,13
8112,2581,94,464.65,97
2951,8588,27,620.71,60
2529,1411,60,593.41,76
2850,2473,80,194.77,23
3084,7255,28,352.29,34
2850,6557,39,711.25,47
1285,9113,6,526.96,54
7260,5971,21,920.81,82
1118,9326,48,308.2,6
5168,5232,98,90.79,6
6413,2249,51,361.97,4
4496,4665,68,361.4,31
1867,5971,21,902.9,51
2888,5360,44,723.13,49
4167,8486,38,865.19,21
5102,8882,4,832.69,2
4296,6640,88,17.17,29
8797,1411,40,969.33,18
2398,1096,22,655.48,74
9666,1592,48,415.6,37
2725,5935,7,222.96,96
9004,150,90,923.39,1
3757,5601,86,242.27,91
5688,150,53,240.81,15
5688,5160,91,939.24,36
3084,8588,92,880.9,69
9666,9165,99,455.23,10
2951,2959,22,680.64,22
9983,3989,100,75.76,96
1684,4665,83,756.58,60
8534,7246,17,510.0,63
5952,6085,44,289.35,75
9016,5349,31,692.79,26
3608,1411,40,261.08,95
1252,5971,77,96.26,81
4105,105,8,227.43,36
9296,1592,19,716.22,97
7340,7255,88,76.62,5
8491,2623,4,545.25,15
8132,5718,1,467.45,35
5952,2303,4,391.2,50
8942,9533,20,314.98,74
3608,2303,13,734.07,33
5354,8280,65,459.37,96
