orderNumber,orderDate,requiredDate,shippedDate,status,comments,customerNumber
2850,2014-02-08,1984-07-10,2009-12-30,Pending,"Own among if understand boy same. Station go style use. Spend word everybody.
Pull left small training center way.
Measure control else usually bring term time.",2973
8112,1996-11-12,1980-07-26,2018-05-10,Cancelled,"Subject film letter moment common. Industry them image sing position vote. Technology order bill system.
Pressure often western enough central. Term do ever machine. No whose person rule.",5956
4631,2015-11-16,1988-10-05,2015-02-20,Shipped,System plant note attention direction particular. Our a clearly pass clear. But once save coach seek.,3170
5337,1984-12-10,2023-06-18,1998-05-04,Cancelled,"Sign center factor while. Whatever agent yeah newspaper.
Society hold federal important. Choice southern money food responsibility film.
White ok program happen plan. Support culture face father.",7500
7037,2024-06-29,1984-05-30,1998-06-15,Pending,Away dinner husband then family take. Cut professional near positive specific anyone than. Someone all impact important difference low.,5070
8350,1995-01-06,2006-08-02,2000-02-06,Cancelled,"Majority manage cold money prove change report ground. Know few room more.
Institution surface he field.
Phone goal matter partner compare form appear. Nearly material remain where beat forward.",2164
2950,1986-12-26,2022-04-30,1982-10-27,Cancelled,"Scene law no or within officer. Business house those mention.
Bag example spend stock contain. Activity almost surface executive cut easy team.",8212
5087,1987-04-05,1980-01-18,1978-09-04,Shipped,Become hot customer mission stop. Movement mouth visit cell least.,6009
1867,1994-09-05,2005-12-25,1974-05-13,Shipped,Bring learn meet value nature difficult boy. Be white color anything somebody government. Process pick president sell.,6009
8491,2007-06-13,2017-10-30,2002-07-23,Pending,"Mission boy policy than. Sister example collection land real protect. Language similar he.
Price federal run. Republican scientist carry wall serious business would.
And sell toward.",3584
7795,1996-04-20,1979-10-20,2013-12-19,Shipped,Hard nothing individual size change history tell billion. Around real network despite small painting simple. Class marriage prove heavy.,8576
3608,1994-06-27,1983-08-09,1995-01-01,Shipped,Wish traditional short long security. My form remain lead base born wide probably.,8708
7016,1997-09-24,1999-06-15,1989-12-07,Pending,"Agree try quite peace. Mother service describe.
Hot everyone money decade window research week. Smile hospital up. Answer minute today.",3791
4983,1979-11-25,1984-12-20,2019-05-09,Cancelled,Agency else report read. Itself across under politics quickly determine. Memory while which. Water west cell article.,4056
